Latitude,Longitude,Height,Stability,Flow-Rate
45.529840,10.174182,0.000000,0,812766734453061112796407061416931296729358155383815290331718366527488.000000
45.529840,10.174182,0.000000,1,2082980365584870251682863724006381537512732247894494483329557257972713470589979804187363216858447988551980185529102178312367674757293461656711506804955152384.000000
45.529840,10.174182,0.000000,2,inf
45.529840,10.174182,0.000000,3,inf
45.529840,10.174182,0.000000,4,inf
45.529840,10.174182,0.000000,5,inf
45.529840,10.174182,0.000000,0,525621600724135347063833116481749316295057889169984710567606242770944.000000
45.529840,10.174182,0.000000,1,1347077122653688718279923796386662791567832738422500376606810018679731734028705399566889607447297903228676087316031682288477897788604054122200770922160324608.000000
45.529840,10.174182,0.000000,2,inf
45.529840,10.174182,0.000000,3,inf
45.529840,10.174182,0.000000,4,inf
45.529840,10.174182,0.000000,5,inf
45.529840,10.174182,0.000000,0,695961934292142136139891779518981043397490935913338246186561964081152.000000
45.529840,10.174182,0.000000,1,1783629893884050748216670148973315046233147522681784014751333760506445967951341686516393907646365357191193053135357504871073101863204725416772012523986616320.000000
45.529840,10.174182,0.000000,2,inf
45.529840,10.174182,0.000000,3,inf
45.529840,10.174182,0.000000,4,inf
45.529840,10.174182,0.000000,5,inf
45.529840,10.174182,0.000000,0,749497467699229948559435160658262517168056763186214737660361282945024.000000
45.529840,10.174182,0.000000,1,1920832193413592703077991301284182661133056696749175223514751436817975915942439533766412269037594542529842491634430262930782341184593815845919931850163224576.000000
45.529840,10.174182,0.000000,2,inf
45.529840,10.174182,0.000000,3,inf
45.529840,10.174182,0.000000,4,inf
45.529840,10.174182,0.000000,5,inf
